cluster_id,gaia_name,radius_deg,disp_p02_3,disp_p15_9,disp_p50,disp_p84_1,disp_p97_7,rot_p02_3,rot_p15_9,rot_p50,rot_p84_1,rot_p97_7,rot_extra,source_file
BH_140,BH_140,0.118333,0.0695571,0.0734502,0.0774971,0.0817058,0.0852152,-0.0167866,-0.00733669,0.00190103,0.0114193,0.0209387,0.0200416,profiles/BH_140.txt
BH_140,BH_140,0.12,0.0691871,0.0731882,0.0772322,0.0814967,0.0850736,-0.016583,-0.00705371,0.00216375,0.0116678,0.0213526,0.0198231,profiles/BH_140.txt
BH_140,BH_140,0.121667,0.0687077,0.072973,0.0769396,0.0813529,0.084957,-0.0163729,-0.00671653,0.0023965,0.011963,0.0217305,0.0196086,profiles/BH_140.txt
BH_140,BH_140,0.123333,0.0679353,0.0727162,0.0767189,0.0811735,0.0848446,-0.016078,-0.00657431,0.00259118,0.0122589,0.0221003,0.0193979,profiles/BH_140.txt
BH_140,BH_140,0.125,0.0674267,0.0723889,0.0764756,0.0810323,0.084786,-0.0158675,-0.0063135,0.00288927,0.0124476,0.0225517,0.0191909,profiles/BH_140.txt
BH_140,BH_140,0.126667,0.0669628,0.0721128,0.0762505,0.0808474,0.0847029,-0.0156603,-0.00616954,0.00321056,0.0126979,0.0230869,0.0189877,profiles/BH_140.txt
BH_140,BH_140,0.128333,0.0664682,0.0717907,0.0760625,0.0807186,0.0846264,-0.015773,-0.00604599,0.00354792,0.0131943,0.0233124,0.0187881,profiles/BH_140.txt
BH_140,BH_140,0.13,0.0658728,0.0714699,0.07583,0.0805971,0.0845652,-0.0162433,-0.00595614,0.00397625,0.0139323,0.0240133,0.0185921,profiles/BH_140.txt
BH_140,BH_140,0.131667,0.0653223,0.0711856,0.0755748,0.0804762,0.0844955,-0.0159523,-0.00590465,0.00422909,0.0144544,0.0247582,0.0183995,profiles/BH_140.txt
BH_140,BH_140,0.133333,0.0647055,0.0709064,0.0753524,0.0803591,0.0844688,-0.0162406,-0.00567085,0.00453281,0.0151152,0.0253322,0.0182104,profiles/BH_140.txt
BH_140,BH_140,0.135,0.0642911,0.0706881,0.075196,0.0802807,0.0843174,-0.0165857,-0.00569963,0.0047233,0.0158949,0.0261358,0.0180247,profiles/BH_140.txt
BH_140,BH_140,0.136667,0.0638112,0.0705037,0.0749792,0.0801861,0.0841245,-0.0164314,-0.00574467,0.00506714,0.0164919,0.0268795,0.0178422,profiles/BH_140.txt
BH_140,BH_140,0.138333,0.0632042,0.0702472,0.0748184,0.0800497,0.0840195,-0.0167826,-0.00584489,0.00530503,0.0171009,0.0275875,0.0176629,profiles/BH_140.txt
BH_140,BH_140,0.14,0.0625743,0.0699744,0.0746961,0.0799473,0.0839925,-0.0171291,-0.00574031,0.00560071,0.0178174,0.0285028,0.0174868,profiles/BH_140.txt
BH_140,BH_140,0.141667,0.0621096,0.0697542,0.0745698,0.0798626,0.0839672,-0.0176225,-0.00569757,0.00593016,0.0184589,0.0293552,0.0173138,profiles/BH_140.txt
BH_140,BH_140,0.143333,0.0615897,0.0695245,0.0744674,0.079759,0.0839541,-0.0178348,-0.00580577,0.00617471,0.0191256,0.0303505,0.0171438,profiles/BH_140.txt
BH_140,BH_140,0.145,0.0612187,0.0692771,0.0743478,0.0796587,0.0839098,-0.0180671,-0.00584489,0.00636722,0.0198924,0.0315269,0.0169768,profiles/BH_140.txt
BH_140,BH_140,0.146667,0.0607599,0.069093,0.074237,0.0795648,0.0838891,-0.0183097,-0.005836,0.00658862,0.020438,0.0321611,0.0168126,profiles/BH_140.txt
BH_140,BH_140,0.148333,0.0603411,0.0688754,0.0740997,0.0795186,0.0838624,-0.0186608,-0.00590045,0.00676982,0.0211478,0.0330146,0.0166513,profiles/BH_140.txt
BH_140,BH_140,0.15,0.0599372,0.0686496,0.0740318,0.0794792,0.0838117,-0.0189803,-0.00607086,0.00710047,0.0216595,0.0337069,0.0164928,profiles/BH_140.txt
BH_140,BH_140,0.151667,0.0595934,0.0684742,0.0739223,0.0794404,0.0837932,-0.0193372,-0.00621199,0.00735891,0.0220767,0.03453,0.0163369,profiles/BH_140.txt
BH_140,BH_140,0.153333,0.0592519,0.0682366,0.0738547,0.0793872,0.0837824,-0.019643,-0.00636682,0.00751663,0.0225451,0.0353828,0.0161837,profiles/BH_140.txt
BH_140,BH_140,0.155,0.0588909,0.0680572,0.0737347,0.0793316,0.0837743,-0.0199205,-0.00646815,0.00764852,0.0229051,0.0359806,0.0160331,profiles/BH_140.txt
BH_140,BH_140,0.156667,0.0585859,0.0679204,0.0736408,0.0793198,0.0837671,-0.0202006,-0.00657549,0.00781937,0.0232831,0.0364219,0.015885,profiles/BH_140.txt
BH_140,BH_140,0.158333,0.0583467,0.067845,0.0736027,0.0793042,0.083761,-0.0205737,-0.00665744,0.00793064,0.0237389,0.0369503,0.0157394,profiles/BH_140.txt
BH_140,BH_140,0.16,0.0581613,0.0677498,0.0735123,0.0792766,0.0837551,-0.0207643,-0.00672226,0.007998,0.0240467,0.03729,0.0155962,profiles/BH_140.txt
BH_140,BH_140,0.161667,0.0580147,0.0676593,0.0734732,0.0792318,0.0837547,-0.0210177,-0.00676042,0.00811169,0.0242646,0.0376079,0.0154554,profiles/BH_140.txt
BH_140,BH_140,0.163333,0.0579084,0.0676323,0.0734454,0.0791955,0.0837545,-0.0211913,-0.0067636,0.00821144,0.0244694,0.0378054,0.015317,profiles/BH_140.txt
