cluster_id,gaia_name,catalogue_file,n_sources,n_finite_pm,n_finite_phot,n_p50,n_p70,n_p90,n_p95,n_primary_q2_p90,median_density_arcmin2,p90_density_arcmin2,median_g,median_bp_rp,median_pmra,median_pmdec
NGC5694,NGC_5694,catalogues/NGC_5694.txt,963,963,807,642,630,600,581,242,32.87,339.02000000000004,19.0492,1.0697,-0.6615,-1.1986
NGC5824,NGC_5824,catalogues/NGC_5824.txt,3488,3488,3061,1876,1780,1597,1465,753,17.52,318.62000000000006,19.0137,1.1275,-1.45925,-2.3004
NGC5897,NGC_5897,catalogues/NGC_5897.txt,8224,8224,6934,6893,6818,6524,6205,3141,102.15,243.86999999999998,19.7968,0.86085,-5.4234,-3.41465
NGC5904,NGC_5904_M_5,catalogues/NGC_5904_M_5.txt,28523,28523,24514,24602,24492,24260,24065,11843,94.59,189.0,19.2626,0.80145,4.0126,-9.8282
NGC5927,NGC_5927,catalogues/NGC_5927.txt,37264,37264,31143,9093,6068,2616,1690,1058,107.0,205.4,19.527,1.4904,-5.0229,-3.4370000000000003
NGC5946,NGC_5946,catalogues/NGC_5946.txt,9757,9757,7971,1538,1183,668,499,186,110.3,227.27999999999992,19.6117,1.6401,-5.0282,-3.3229
NGC5986,NGC_5986,catalogues/NGC_5986.txt,11293,11293,9392,5930,5350,3931,2890,1475,100.7,278.1800000000001,19.5468,1.2059,-4.1977,-4.4666
NGC6093,NGC_6093_M_80,catalogues/NGC_6093_M_80.txt,7749,7749,6546,4734,4481,3849,3233,1599,101.1,252.0,19.4444,1.04115,-2.952,-5.483
NGC6101,NGC_6101,catalogues/NGC_6101.txt,13365,13365,11327,7836,7684,7272,6902,3836,65.81,351.0200000000001,19.9333,0.9279,1.303,-0.7082
NGC6121,NGC_6121_M_4,catalogues/NGC_6121_M_4.txt,69417,69417,65263,26352,26272,26109,25955,14607,20.47,160.2,19.2235,1.4377,-6.5175,-6.95
NGC6139,NGC_6139,catalogues/NGC_6139.txt,11679,11679,10431,2725,2351,1727,1380,585,47.35,173.82000000000008,19.589,1.8426,-4.4219,-3.1839
NGC6144,NGC_6144,catalogues/NGC_6144.txt,5618,5618,4562,3852,3682,3168,2737,1308,100.3,326.76000000000005,19.7404,1.32185,-1.81135,-2.67335
