cluster_id,GC_NAME,dPOS,dRV,dPM,dFeH,RV_Prob,VB_PROB,VHELIO_AVG,VERR,GAIAEDR3_SOURCE_ID,GAIAEDR3_PARALLAX,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PHOT_G_MEAN_MAG,M_H,M_H_ERR,C_FE,C_FE_ERR,N_FE,N_FE_ERR,O_FE,O_FE_ERR,MG_FE,MG_FE_ERR,AL_FE,AL_FE_ERR,SI_FE,SI_FE_ERR,FE_H,FE_H_ERR
NGC0104,NGC0104,0.14924137149637368,-0.6554624438285828,1.2192317247390747,0.48816999793052673,0.7300737500190735,0.99992,-25.315549850463867,0.03242574632167816,4689613458369686784,0.19752097129821777,4.980865001678467,-3.3016090393066406,13.478400230407715,-0.7051100134849548,0.008155983872711658,-0.06687605381011963,0.018888263031840324,0.9145899415016174,0.021620577201247215,0.2993629574775696,0.02034989558160305,0.3359229564666748,0.015360027551651001,0.40311098098754883,0.02181686833500862,0.26016056537628174,0.017050545662641525,-0.7128999829292297,0.009093587286770344
NGC0104,NGC0104,0.14402728160258002,-0.3453134000301361,0.6035333275794983,-0.5149436593055725,0.7696923613548279,0.9999899999999999,-21.593761444091797,0.05929280072450638,4689808385463633152,0.17795759439468384,4.861494064331055,-2.4914824962615967,13.896200180053711,-0.7807400226593018,0.011212233453989029,-0.0325770378112793,0.04195505380630493,0.7848299741744995,0.04304451122879982,0.2710529565811157,0.05824369192123413,0.35162293910980225,0.023037472739815712,0.20687097311019897,0.03451840952038765,0.26172053813934326,0.02759256213903427,-0.7886899709701538,0.012021780014038086
NGC0104,NGC0104,0.11700631942653811,-0.35511064529418945,1.3524727821350098,-0.36123478412628174,0.7691012620925903,0.9999600000000001,-21.711328506469727,0.024163560941815376,4689618238680828800,0.23519694805145264,5.316275596618652,-3.4337494373321533,12.486800193786621,-0.761489987373352,0.008547496050596237,0.0717240571975708,0.01586187072098255,0.07523703575134277,0.018281986936926842,0.33892303705215454,0.014639639295637608,0.36148303747177124,0.015267504379153252,0.2535410523414612,0.02195741795003414,0.2400006651878357,0.01650558039546013,-0.7649000287055969,0.009748369455337524
NGC0104,NGC0104,0.12954246298945693,-0.11547740548849106,0.6453453302383423,-0.1033092513680458,0.7724148035049438,0.9999899999999999,-18.835729598999023,0.024336867034435272,4689613840634674048,0.22406485676765442,4.904687881469727,-2.7919814586639404,12.490500450134277,-0.7455000281333923,0.008514010347425938,0.07884693145751953,0.01552497036755085,0.08170592784881592,0.017930585891008377,0.3501429557800293,0.014295617118477821,0.3643629550933838,0.015123911201953888,0.23604094982147217,0.021920494735240936,0.27003055810928345,0.01636669971048832,-0.7491099834442139,0.009744678623974323
NGC0104,NGC0104,0.12706252633998966,-0.5805800557136536,0.8113257884979248,0.519532322883606,0.7438636422157288,0.9999899999999999,-24.416961669921875,0.060066863894462585,4689808140658977792,0.22486139833927155,5.224268436431885,-3.081502676010132,14.213600158691406,-0.719789981842041,0.011760476976633072,0.09921401739120483,0.03279464691877365,-0.08043301105499268,0.034803055226802826,0.44651299715042114,0.03859589993953705,0.3446129858493805,0.02244606800377369,0.2811809778213501,0.0363163948059082,0.2596805989742279,0.02670835331082344,-0.7213299870491028,0.013087761588394642
NGC0104,NGC0104,0.13616946530631854,0.7362223267555237,0.6170477867126465,-0.8017809391021729,0.5572221279144287,0.9999899999999999,-8.61533260345459,0.02240033820271492,4689601746006553344,0.22677509486675262,5.549332141876221,-2.8240103721618652,12.039600372314453,-0.7934499979019165,0.008711813017725945,0.03631401062011719,0.0159026850014925,0.4867100119590759,0.01827172562479973,0.31059300899505615,0.014385002665221691,0.36652299761772156,0.015512829646468163,0.16173100471496582,0.022175412625074387,0.24731063842773438,0.01667766459286213,-0.7918699979782104,0.009935463778674603
NGC0104,NGC0104,0.09936812616350563,-1.2831846475601196,0.23798725008964539,-0.4816213846206665,0.4740679860115051,1.0,-32.84821701049805,0.019782254472374916,4689618273040536704,0.22130650281906128,5.318471431732178,-2.692145824432373,11.499899864196777,-0.7845399975776672,0.008982250466942787,0.02067643404006958,0.01414088811725378,0.6661800146102905,0.016249021515250206,0.31570300459861755,0.012181825935840607,0.3318230211734772,0.015313370153307915,0.1470610499382019,0.02258097007870674,0.21740061044692993,0.016307715326547623,-0.7956100106239319,0.010478285141289234
NGC0104,NGC0104,0.10341614300682742,0.26361727714538574,0.6673669815063477,-2.0373375415802,0.7279977798461914,0.9999899999999999,-14.286593437194824,0.018789907917380333,4689614901478662272,0.24668721854686737,5.418500900268555,-2.954885959625244,11.264599800109863,-0.8704599738121033,0.009378675371408463,0.07414805889129639,0.014672808349132538,0.3359300494194031,0.01671808958053589,0.32452303171157837,0.01234366837888956,0.33693307638168335,0.016016516834497452,0.09687095880508423,0.02308098040521145,0.2061406373977661,0.016855822876095772,-0.8675100207328796,0.010884767398238182
NGC0104,NGC0104,0.12373446616857844,0.38278698921203613,0.7642248272895813,-1.0521920919418335,0.6989262700080872,0.9999899999999999,-12.85655689239502,0.05783125385642052,4689613600116265088,0.21844491362571716,5.71055269241333,-2.749502182006836,13.808699607849121,-0.7937999963760376,0.010779851116240025,0.1483200192451477,0.039238277822732925,0.3682100176811218,0.04063257947564125,0.43281301856040955,0.05328803136944771,0.31222301721572876,0.022117555141448975,0.21213096380233765,0.03246333450078964,0.253290593624115,0.02617948316037655,-0.807200014591217,0.01155046559870243
NGC0104,NGC0104,0.10117021433332367,0.6646184325218201,1.1044291257858276,-1.2178258895874023,0.5931324362754822,0.9999899999999999,-9.474579811096191,0.023777086287736893,4689614970198135296,0.22362102568149567,5.768493175506592,-3.0561132431030273,12.188699722290039,-0.8153799772262573,0.008780965581536293,0.044056057929992676,0.016229484230279922,0.08718705177307129,0.018598143011331558,0.3351530432701111,0.014640983194112778,0.37695303559303284,0.015704888850450516,0.24583101272583008,0.022259311750531197,0.24879062175750732,0.016847113147377968,-0.8173400163650513,0.009981595911085606
NGC0104,NGC0104,0.10825630139789764,0.5643063187599182,0.6453294157981873,-0.6500319838523865,0.6372089385986328,0.99998,-10.678324699401855,0.0238948967307806,4689830508836705664,0.26179561018943787,5.647519111633301,-2.6977856159210205,12.167799949645996,-0.7990700006484985,0.00875830091536045,0.10975998640060425,0.015799395740032196,0.13304996490478516,0.0181458480656147,0.3346729874610901,0.014186829328536987,0.38558298349380493,0.015548396855592728,0.2569010257720947,0.02223948948085308,0.2463306188583374,0.016689358279109,-0.804419994354248,0.010000857524573803
NGC0104,NGC0104,0.09682719934704631,-0.17956511676311493,0.8200846314430237,0.2571972608566284,0.7737828493118286,0.9999899999999999,-19.604782104492188,0.022792357951402664,4689642496660354048,0.23395276069641113,5.51500940322876,-3.0187947750091553,12.172699928283691,-0.754289984703064,0.008537707850337029,0.014093995094299316,0.01567363180220127,0.4696899950504303,0.01808302290737629,0.3189629912376404,0.014430497772991657,0.3481929898262024,0.01520014088600874,0.15916097164154053,0.02194872498512268,0.2551305890083313,0.01643691211938858,-0.7496799826622009,0.009756595827639103
