cluster_id,GC_name,RA_cen,DEC_cen,R_t,Fe_H_med,Fe_H_sig,RV_med,RV_sig,PM_RA,PM_DEC,PM_sig,dist,dist_err,rad_vel,rad_vel_err,Rgc,Rgc_err,mass,mass_err,Nstars
NGC6218,NGC6218,251.80907,-1.94853,0.5080000162124634,-1.2699999809265137,0.061000000685453415,-41.66999816894531,4.800000190734863,-0.19099999964237213,-6.802499771118164,0.27000001072883606,5109.39990234375,48.400001525878906,-41.66999816894531,0.14000000059604645,4.570000171661377,0.019999999552965164,106000.0,3240.0,107
NGC6254,NGC6254,254.28772,-4.10031,0.6110000014305115,-1.50600004196167,0.0729999989271164,74.20999908447266,6.300000190734863,-4.758299827575684,-6.59689998626709,0.33000001311302185,5067.39990234375,63.599998474121094,74.20999908447266,0.23000000417232513,4.349999904632568,0.029999999329447746,199000.0,4200.0,87
NGC6273,NGC6273,255.65749,-26.26797,0.26600000262260437,-1.7100000381469727,0.14100000262260437,145.5399932861328,12.100000381469727,-3.2486000061035156,1.6610000133514404,0.5,8343.099609375,164.1999969482422,145.5399932861328,0.5899999737739563,1.4299999475479126,0.029999999329447746,697000.0,36100.0,81
NGC6293,NGC6293,257.5425,-26.58208,0.15299999713897705,-2.0899999141693115,0.07999999821186066,-143.66000366210938,7.800000190734863,0.8705000281333923,-4.325200080871582,0.38999998569488525,9192.2001953125,278.29998779296875,-143.66000366210938,0.38999998569488525,1.600000023841858,0.18000000715255737,165000.0,12900.0,20
NGC6304,NGC6304,258.6344,-29.46203,0.2759999930858612,-0.47600001096725464,0.050999999046325684,-108.62000274658203,5.5,-4.069300174713135,-1.0887999534606934,0.4399999976158142,6151.89990234375,148.3000030517578,-108.62000274658203,0.38999998569488525,2.190000057220459,0.12999999523162842,126000.0,11400.0,34
NGC6316,NGC6316,259.15542,-28.14011,0.2709999978542328,-0.7689999938011169,0.03999999910593033,99.6500015258789,8.100000381469727,-4.969200134277344,-4.593400001525879,0.46000000834465027,11151.5,387.20001220703125,99.6500015258789,0.8399999737739563,3.1600000858306885,0.36000001430511475,321000.0,39800.0,24
NGC6341,NGC6341,259.28076,43.13594,0.8080000281333923,-2.244999885559082,0.07699999958276749,-120.55000305175781,8.699999809265137,-4.935200214385986,-0.6254000067710876,0.41999998688697815,8501.400390625,70.19999694824219,-120.55000305175781,0.27000001072883606,9.84000015258789,0.03999999910593033,317000.0,3770.0,80
TER2,Ter2,261.88792,-30.80233,0.08399999886751175,-0.8560000061988831,0.04899999871850014,134.55999755859375,4.300000190734863,-2.1709001064300537,-6.261000156402588,0.5699999928474426,7753.2998046875,325.29998779296875,134.55999755859375,0.9599999785423279,0.7400000095367432,0.1599999964237213,81800.0,27800.0,5
TER4,Ter4,262.66251,-31.59553,0.125,-1.3769999742507935,0.06199999898672104,-48.959999084472656,6.099999904632568,-5.451600074768066,-3.708699941635132,0.5899999737739563,7591.2001953125,308.79998779296875,-48.959999084472656,1.5700000524520874,0.8199999928474426,0.20000000298023224,151000.0,25200.0,3
HP1,HP1,262.77167,-29.98167,0.15600000321865082,-1.2109999656677246,0.1599999964237213,39.7599983215332,5.300000190734863,2.5223000049591064,-10.093000411987305,0.4399999976158142,6994.5,142.10000610351562,39.7599983215332,1.2200000286102295,1.2599999904632568,0.12999999523162842,124000.0,17100.0,17
FSR1758,FSR1758,262.8,-39.808,0.6179999709129333,-1.4190000295639038,0.09300000220537186,227.30999755859375,5.800000190734863,-2.8814001083374023,2.5188000202178955,0.38999998569488525,11084.7998046875,737.0999755859375,227.30999755859375,0.5899999737739563,3.4600000381469727,0.6299999952316284,628000.0,55900.0,15
LILLER1,Liller1,263.35233,-33.38956,0.26100000739097595,-0.14100000262260437,0.3970000147819519,60.36000061035156,21.799999237060547,-5.3780999183654785,-7.436399936676025,0.6700000166893005,8061.2001953125,345.3999938964844,60.36000061035156,2.440000057220459,0.7400000095367432,0.07000000029802322,915000.0,147000.0,30
NGC6380,NGC6380,263.61861,-39.06953,0.2329999953508377,-0.7839999794960022,0.07199999690055847,-1.4800000190734863,8.300000190734863,-2.1821000576019287,-3.232800006866455,0.6100000143051147,9607.2001953125,300.70001220703125,-1.4800000190734863,0.7300000190734863,2.1500000953674316,0.20999999344348907,319000.0,4520.0,28
TON2,Ton2,264.03929,-38.54092,0.16599999368190765,-0.7369999885559082,0.2800000011920929,-184.72000122070312,3.200000047683716,-5.904399871826172,-0.754800021648407,0.3499999940395355,6987.0,334.8999938964844,-184.72000122070312,1.1200000047683716,1.7599999904632568,0.1899999976158142,50600.0,12000.0,11
NGC6388,NGC6388,264.07178,-44.7355,0.515999972820282,-0.4860000014305115,0.1469999998807907,83.11000061035156,17.399999618530273,-1.31659996509552,-2.7081000804901123,0.6000000238418579,11170.599609375,161.5,83.11000061035156,0.44999998807907104,3.990000009536743,0.12999999523162842,1250000.0,10800.0,75
NGC6401,NGC6401,264.65219,-23.9096,0.09399999678134918,-1.0880000591278076,0.36800000071525574,-105.44000244140625,6.400000095367432,-2.7471001148223877,1.4453999996185303,0.4699999988079071,8064.10009765625,236.10000610351562,-105.44000244140625,2.5,0.75,0.03999999910593033,145000.0,2440.0,7
NGC6397,NGC6397,265.17538,-53.67434,1.1740000247955322,-2.0220000743865967,0.05999999865889549,18.510000228881836,5.5,3.2600998878479004,-17.663999557495117,0.49000000953674316,2482.5,18.899999618530273,18.510000228881836,0.07999999821186066,6.010000228881836,0.019999999552965164,88200.0,1150.0,187
PAL06,Pal6,265.92581,-26.22499,0.12399999797344208,-0.9229999780654907,0.08100000023841858,177.0,4.699999809265137,-9.22089958190918,-5.34499979019165,0.4399999976158142,7047.0,448.1000061035156,177.0,1.350000023841858,1.3300000429153442,0.44999998807907104,72400.0,16500.0,6
TER5,Ter5,267.0202,-24.77906,0.421999990940094,-0.7820000052452087,0.531000018119812,-82.56999969482422,15.5,-1.9954999685287476,-5.243000030517578,0.6299999952316284,6616.7001953125,149.0,-82.56999969482422,0.7300000190734863,1.649999976158142,0.12999999523162842,935000.0,68700.0,24
NGC6441,NGC6441,267.55441,-37.05145,0.5019999742507935,-0.4869999885559082,0.10300000011920929,18.469999313354492,19.100000381469727,-2.551500082015991,-5.348299980163574,0.41999998688697815,12728.2998046875,162.1999969482422,18.469999313354492,0.5600000023841858,4.78000020980835,0.15000000596046448,1320000.0,11000.0,25
UKS1,UKS1,268.61331,-24.14528,0.17000000178813934,-1.0,0.15000000596046448,59.380001068115234,4.199999809265137,-2.0320000648498535,-2.7592999935150146,0.699999988079071,15581.2001953125,559.7999877929688,59.380001068115234,2.630000114440918,7.46999979019165,0.5400000214576721,77000.0,0.0,5
