cluster_id,gaia_catalogue_available,gaia_profile_available,hacks_profile_available,apogee_parameters_available,apogee_members_available,gaia_name,gaia_catalogue_file,gaia_profile_file,n_gaia_sources,n_gaia_primary_p90_q2,n_gaia_profile_bins,n_apogee_members,apogee_rv_median_kms,apogee_feh_median
TERZAN_10,True,True,False,False,False,Terzan_10,catalogues/Terzan_10.txt,profiles/Terzan_10.txt,3600.0,35.0,101.0,,,
TERZAN_12,True,True,False,False,False,Terzan_12,catalogues/Terzan_12.txt,profiles/Terzan_12.txt,2238.0,126.0,101.0,,,
TERZAN_1_HP_2,True,True,False,False,False,Terzan_1_HP_2,catalogues/Terzan_1_HP_2.txt,profiles/Terzan_1_HP_2.txt,4341.0,75.0,101.0,,,
TERZAN_2_HP_3,True,True,False,False,False,Terzan_2_HP_3,catalogues/Terzan_2_HP_3.txt,profiles/Terzan_2_HP_3.txt,1816.0,37.0,101.0,,,
TERZAN_3,True,True,False,False,False,Terzan_3,catalogues/Terzan_3.txt,profiles/Terzan_3.txt,4714.0,853.0,101.0,,,
TERZAN_4_HP_4,True,True,False,False,False,Terzan_4_HP_4,catalogues/Terzan_4_HP_4.txt,profiles/Terzan_4_HP_4.txt,2825.0,27.0,101.0,,,
TERZAN_5_11,True,True,False,False,False,Terzan_5_11,catalogues/Terzan_5_11.txt,profiles/Terzan_5_11.txt,3723.0,152.0,101.0,,,
TERZAN_6_HP_5,True,True,False,False,False,Terzan_6_HP_5,catalogues/Terzan_6_HP_5.txt,profiles/Terzan_6_HP_5.txt,1886.0,30.0,101.0,,,
TERZAN_7,True,False,False,False,False,Terzan_7,catalogues/Terzan_7.txt,,812.0,155.0,,,,
TERZAN_8,True,False,False,False,False,Terzan_8,catalogues/Terzan_8.txt,,1166.0,390.0,,,,
TERZAN_9,True,True,False,False,False,Terzan_9,catalogues/Terzan_9.txt,profiles/Terzan_9.txt,4507.0,54.0,101.0,,,
TON2,False,False,False,True,False,,,,,,,,,
TON2_PISMIS26,True,True,False,False,False,Ton2_Pismis26,catalogues/Ton2_Pismis26.txt,profiles/Ton2_Pismis26.txt,2578.0,201.0,101.0,,,
UKS1,False,False,False,True,False,,,,,,,,,
UKS_1,True,False,False,False,False,UKS_1,catalogues/UKS_1.txt,,775.0,2.0,,,,
VVV_CL001,True,False,False,False,False,VVV_CL001,catalogues/VVV_CL001.txt,,208.0,1.0,,,,
VVV_CL002,True,False,False,False,False,VVV_CL002,catalogues/VVV_CL002.txt,,141.0,3.0,,,,
WHITING_1,True,False,False,False,False,Whiting_1,catalogues/Whiting_1.txt,,55.0,20.0,,,,
