cluster_id,gaia_catalogue_available,gaia_profile_available,hst_hacks_profile_available,apogee_available,n_gaia_profile_bins,n_hst_bins,n_apogee_rows,median_gaia_density_arcmin2,ready_for_gaia_hst_validation
NGC4590,1,1,1,1,101,5,41,77.38,1
NGC4833,1,1,1,0,101,12,0,70.44,1
NGC5024,1,1,1,1,101,17,41,81.56,1
NGC5053,1,1,1,1,101,5,17,35.59,1
NGC5139,1,1,0,1,101,0,1017,102.2,0
NGC5272,1,1,1,0,101,17,0,110.95,1
NGC5286,1,1,1,0,101,11,0,93.345,1
NGC5466,1,1,1,0,101,5,0,72.3,1
NGC5634,1,1,0,0,101,0,0,87.815,0
NGC5694,1,1,0,0,101,0,0,32.87,0
NGC5824,1,1,0,0,101,0,0,17.52,0
NGC5897,1,1,1,0,101,5,0,102.15,1
NGC5904,1,1,1,0,101,19,0,94.59,1
NGC5927,1,1,1,0,101,17,0,107.0,1
NGC5946,1,1,0,0,101,0,0,110.3,0
NGC5986,1,1,1,0,101,17,0,100.7,1
NGC6093,1,1,1,0,101,13,0,101.1,1
NGC6101,1,1,1,0,101,8,0,65.81,1
NGC6121,1,1,1,0,101,6,0,20.47,1
NGC6139,1,1,0,0,101,0,0,47.35,0
NGC6144,1,1,1,0,101,5,0,100.3,1
NGC6171,1,1,1,0,101,6,0,111.15,1
NGC6205,1,1,1,0,101,21,0,187.85,1
NGC6218,1,1,1,0,101,11,0,132.5,1
NGC6229,1,1,0,0,101,0,0,146.9,0
NGC6235,1,1,0,0,101,0,0,75.91,0
NGC6254,1,1,1,0,101,16,0,87.405,1
NGC6256,1,1,0,0,101,0,0,68.01,0
NGC6266,1,1,0,0,101,0,0,164.9,0
NGC6273,1,1,0,0,101,0,0,113.0,0
NGC6284,1,1,0,0,101,0,0,104.6,0
NGC6287,1,1,0,0,101,0,0,52.81,0
NGC6293,1,1,0,0,101,0,0,149.2,0
NGC6304,1,1,1,0,101,8,0,191.7,1
NGC6316,1,1,0,0,101,0,0,182.6,0
NGC6325,1,1,0,0,101,0,0,89.625,0
NGC6333,1,1,0,0,101,0,0,107.6,0
NGC6341,1,1,1,0,101,22,0,192.0,1
NGC6342,1,1,0,0,101,0,0,119.2,0
NGC6352,1,1,1,0,101,6,0,95.96,1
NGC6355,1,1,0,0,101,0,0,164.0,0
NGC6356,1,1,0,0,101,0,0,102.3,0
NGC6362,1,1,1,0,101,10,0,136.4,1
NGC6366,1,1,1,0,101,3,0,42.32,1
NGC6380,1,1,0,0,101,0,0,71.96,0
NGC6388,1,1,1,0,101,31,0,99.53,1
NGC6397,1,1,1,0,101,7,0,45.26,1
NGC6401,1,1,0,0,101,0,0,160.4,0
NGC6402,1,1,0,0,101,0,0,152.8,0
NGC6426,1,1,0,0,101,0,0,30.795,0
NGC6440,1,1,0,0,101,0,0,146.3,0
NGC6441,1,1,1,0,101,27,0,188.0,1
NGC6453,1,1,0,0,101,0,0,206.1,0
NGC6496,1,1,1,0,101,3,0,108.6,1
NGC6517,1,1,0,0,101,0,0,60.55,0
NGC6522,1,1,0,0,101,0,0,182.2,0
NGC6528,1,1,0,0,101,0,0,177.1,0
NGC6535,1,1,1,0,101,4,0,50.785,1
