cluster_id,hacks_bin,hacks_n_stars,radius_arcsec,hst_sigma_pm_masyr,hst_sigma_pm_err_masyr,gaia_sigma_pm_masyr,gaia_sigma_pm_err_masyr,sigma_diff_masyr,delta_frac,z_raw,z_corrected,hst_sigma_radial_masyr,hst_sigma_radial_err_masyr,hst_sigma_tangential_masyr,hst_sigma_tangential_err_masyr,hst_beta_pm,median_gaia_density_arcmin2,n_apogee_rows
NGC2298,4,51,37.3179,0.074,0.006,0.0612658869159391,0.0064271845428931,-0.0127341130840609,-0.172082609244067,-1.44828660458941,-1.14888984946795,0.082,0.009,0.067,0.008,0.332391433670434,126.75,12
NGC2298,5,51,53.7063,0.065,0.005,0.0589574913267501,0.0059660537701804,-0.0060425086732499,-0.0929616718961531,-0.776252830054015,-0.604747086191578,0.061,0.007,0.072,0.008,-0.393173877989788,126.75,12
NGC2298,6,50,86.7106,0.059,0.005,0.0555728909610312,0.0063447500201881,-0.0034271090389687,-0.0580865938808266,-0.424246421294267,-0.327301132237434,0.062,0.007,0.058,0.007,0.124869927159209,126.75,12
NGC2808,3,204,13.0162,0.277,0.01,0.229032716494624,0.0419805995510369,-0.0479672835053763,-0.173167088467063,-1.11150662185239,-1.11150662185239,0.277,0.014,0.278,0.014,-0.0072332494884592,114.8,132
NGC2808,4,204,17.7359,0.282,0.01,0.227875294079833,0.0404520252897752,-0.0541247059201673,-0.191931581277189,-1.2988974651824,-1.2988974651824,0.294,0.015,0.272,0.014,0.144060345226526,114.8,132
NGC2808,5,370,23.4996,0.275,0.008,0.225949941407512,0.0381387434512639,-0.0490500585924876,-0.178363849427228,-1.25870227152433,-1.25870227152433,0.276,0.011,0.273,0.01,0.0216209829867674,114.8,132
NGC2808,6,370,29.1619,0.266,0.007,0.224276375409463,0.0360609886455029,-0.0417236245905366,-0.156855731543371,-1.13582780668507,-1.13582780668507,0.282,0.011,0.251,0.01,0.20777375383532,114.8,132
NGC2808,7,370,33.3908,0.26,0.007,0.22304638727368,0.0344593680438942,-0.0369536127263202,-0.142129279716616,-1.05091832949732,-1.05091832949732,0.258,0.01,0.262,0.01,-0.0312481221080465,114.8,132
NGC2808,8,370,37.1908,0.261,0.007,0.222033846959954,0.0330977188371511,-0.0389661530400464,-0.149295605517419,-1.15182742264266,-1.15182742264266,0.263,0.01,0.259,0.01,0.0301869334528475,114.8,132
NGC2808,9,370,40.673,0.248,0.007,0.221128562395358,0.0318001576645921,-0.0268714376046416,-0.108352570986458,-0.825252322687573,-0.825252322687573,0.258,0.01,0.237,0.009,0.156165494862088,114.8,132
NGC2808,10,370,43.8803,0.256,0.007,0.220360856877089,0.0306997910932139,-0.0356391431229107,-0.13921540282387,-1.13184222987005,-1.13184222987005,0.273,0.01,0.239,0.009,0.233573508298783,114.8,132
NGC2808,11,370,46.5007,0.246,0.007,0.219619472857828,0.0297702436694335,-0.0263805271421721,-0.107237915212082,-0.862612146614287,-0.862612146614287,0.243,0.009,0.249,0.009,-0.0499923792104862,114.8,132
NGC2808,12,370,49.4917,0.243,0.006,0.218694947490804,0.0286980130662575,-0.0243050525091963,-0.100020792218915,-0.828999817079178,-0.828999817079178,0.249,0.01,0.236,0.009,0.101691908195029,114.8,132
