cluster_id,n_matched_bins,mean_delta_frac,median_delta_frac,rms_delta_frac,redchi2_raw,redchi2_corrected,quality_class,gaia_error_scale,gaia_systematic_floor_masyr,median_gaia_density_arcmin2,n_apogee_rows,n_gaia_sources,n_gaia_primary_p90_q2,apogee_rv_median_kms,apogee_feh_median
NGC6656,15,-0.0154258906830042,-0.0142996775567733,0.0350747071399375,0.0739868886204867,0.0739868886204867,A_Gaia_HST_consistent,1.0,0.0,149.0,0,194072,8451,,
NGC6681,13,-0.290228495051869,-0.287662568801812,0.292178483913756,4.35657921124193,0.989708151967992,C_correction_required,2.2,0.0,84.83,0,10679,763,,
NGC6715,16,0.0138772908695767,0.0158094592780372,0.0791195179966598,0.168005241343087,0.168005241343087,A_Gaia_HST_consistent,1.0,0.0,76.04,0,9975,1710,,
NGC6717,5,-0.21527169653375,-0.171391995205119,0.230903661088107,2.84453330945982,0.991491337986539,C_correction_required,1.925,0.0,84.915,0,2588,289,,
NGC6723,11,0.0817001663465725,0.071864555827033,0.0974958734192657,0.49556094018243,0.49556094018243,A_Gaia_HST_consistent,1.0,0.0,80.495,0,15708,2623,,
NGC6752,16,-0.0648376779278821,-0.0746378962846052,0.091993118240238,1.43553217246512,1.01312784202848,A_Gaia_HST_consistent,1.275,0.0,80.905,0,54820,21066,,
NGC6779,5,-0.0715010405184753,-0.0527181492861873,0.0955361167675668,1.16697053129043,0.996753905149052,A_Gaia_HST_consistent,1.125,0.0,81.03,0,13064,2392,,
NGC6809,7,-0.0217678614074906,-0.0235728691038902,0.0331258116577551,0.133233163285223,0.133233163285223,A_Gaia_HST_consistent,1.0,0.0,118.7,0,30889,9508,,
NGC6838,4,-0.0166127438776048,-0.0133638562414312,0.0355300588723008,0.317315907992612,0.317315907992612,A_Gaia_HST_consistent,1.0,0.0,96.24,0,34560,3360,,
NGC6934,16,-0.0569491632586475,-0.0371789056447698,0.0875371162846188,0.336117185752393,0.336117185752393,A_Gaia_HST_consistent,1.0,0.0,107.2,0,4614,984,,
NGC6981,3,-0.491647466395252,-0.505605897762885,0.493306674979618,23.4553778028298,1.00027702835772,D_not_reliable_in_overlap,1.1,0.0391666666666667,166.7,0,3510,1103,,
NGC7078,19,-0.0797900902077423,-0.0912425919575189,0.118315577945128,0.922795477637403,0.922795477637403,A_Gaia_HST_consistent,1.0,0.0,109.0,0,19770,7268,,
NGC7089,25,0.0777918679673224,0.0778331879509653,0.103629868955425,0.742783151134704,0.742783151134704,A_Gaia_HST_consistent,1.0,0.0,114.9,0,13189,4583,,
NGC7099,12,0.0719834892672259,0.0729184357635098,0.076137455909347,0.30155270610865,0.30155270610865,A_Gaia_HST_consistent,1.0,0.0,120.6,0,9770,4231,,
